Player,Year,Player Year,Games,Total plays,On-ball PRF/g,On-ball PRF baseline,On-ball Plays/g,On-ball rORTG,On-ball PC/g,Off-ball: Partner PRF/g,Off-ball: Partner PRF/g baseline,Off-ball: Partner Plays/g,Off-ball: Partner rORTG,Off-ball: Partner PC/g,Off-ball: Space PRF/g,Off-ball: Space PRF/g baseline,Off-ball: Space Plays/g,Off-ball: Space rORTG,Off-ball: Space PC/g,Off-ball: Crash PRF/g,Off-ball: Crash PRF/g baseline,Off-ball: Crash Plays/g,Off-ball: Crash rORTG,Off-ball: Crash PC/g,Transition PRF/g,Transition PRF/g baseline,Transition Plays/g,Transition rORTG,Transition PC/g,Total PRF/g,Total PRF/g baseline,Total Plays/g,Total rORTG,Total PC/g
Al-Farouq Aminu,2015-16,Al-Farouq Aminu 2015-16,82,1239,4.5,4.8,5.2,-4.9,-0.25,1.0,1.0,1.1,0.8,0.01,4.6,4.4,4.5,6.0,0.27,1.5,1.2,1.2,23.7,0.28,3.1,2.9,3.2,8.1,0.26,14.8,14.3,15.1,3.7,0.56
Al-Farouq Aminu,2016-17,Al-Farouq Aminu 2016-17,61,859,4.3,4.4,4.7,-3.4,-0.16,0.7,1.0,1.0,-30.2,-0.29,4.1,4.5,4.5,-8.3,-0.37,1.6,1.6,1.4,2.4,0.03,2.4,2.4,2.5,1.6,0.04,13.1,13.8,14.1,-5.3,-0.75
Al-Farouq Aminu,2017-18,Al-Farouq Aminu 2017-18,69,910,3.1,3.6,3.8,-13.2,-0.50,1.5,1.6,1.5,-1.9,-0.03,4.6,4.8,4.8,-3.9,-0.19,1.3,1.3,1.2,-4.6,-0.06,2.0,1.8,1.9,9.5,0.18,12.6,13.1,13.2,-4.5,-0.59
Al-Farouq Aminu,2018-19,Al-Farouq Aminu 2018-19,81,992,3.8,3.7,3.9,1.5,0.06,0.5,0.5,0.5,12.7,0.06,4.2,4.5,4.4,-6.2,-0.27,2.0,1.8,1.6,11.7,0.19,2.2,1.8,1.9,21.4,0.41,12.8,12.3,12.2,3.6,0.44
Al-Farouq Aminu,2019-20,Al-Farouq Aminu 2019-20,18,173,3.8,3.9,4.0,-2.2,-0.09,0.2,0.4,0.3,-57.0,-0.19,1.3,2.4,2.3,-46.2,-1.08,1.4,1.7,1.6,-19.6,-0.30,0.9,1.3,1.4,-32.5,-0.45,7.6,9.7,9.6,-22.0,-2.11
Al-Farouq Aminu,2020-21,Al-Farouq Aminu 2020-21,23,213,3.9,4.3,4.4,-10.6,-0.46,0.3,0.3,0.3,-18.9,-0.06,1.3,1.9,1.8,-34.6,-0.63,1.1,1.2,1.0,-6.3,-0.07,1.5,1.7,1.7,-8.7,-0.15,8.0,9.4,9.3,-14.8,-1.37
Alan Anderson,2005-06,Alan Anderson 2005-06,33,285,3.1,3.8,4.2,-18.1,-0.77,0.0,0.0,0.0,-92.0,-0.03,2.5,2.1,2.2,20.1,0.43,0.7,0.7,0.6,7.7,0.05,1.7,1.4,1.6,15.4,0.24,7.9,8.0,8.6,-0.8,-0.07
Alan Anderson,2006-07,Alan Anderson 2006-07,17,139,4.0,4.1,4.5,-3.2,-0.15,0.4,0.1,0.1,203.0,0.24,1.6,1.8,1.8,-9.9,-0.18,0.6,0.7,0.6,-13.5,-0.09,0.7,1.0,1.1,-24.0,-0.25,7.2,7.6,8.2,-5.3,-0.43
Alan Anderson,2011-12,Alan Anderson 2011-12,17,245,6.2,6.9,7.9,-8.5,-0.67,0.4,0.6,0.7,-30.8,-0.22,4.4,3.8,4.1,13.9,0.57,0.3,0.4,0.4,-33.7,-0.14,1.8,1.1,1.3,53.5,0.69,13.2,12.9,14.4,1.6,0.24
Alan Anderson,2012-13,Alan Anderson 2012-13,65,1011,7.1,7.5,8.4,-4.2,-0.35,0.3,0.4,0.4,-25.8,-0.11,4.8,4.6,4.8,4.2,0.20,0.4,0.4,0.4,18.7,0.07,1.9,1.4,1.6,27.0,0.44,14.5,14.3,15.6,1.6,0.25
Alan Anderson,2013-14,Alan Anderson 2013-14,78,828,4.6,4.7,5.2,-2.5,-0.13,0.2,0.2,0.2,55.0,0.09,3.2,3.3,3.4,-2.9,-0.10,0.4,0.4,0.4,12.5,0.05,1.6,1.3,1.4,25.0,0.35,10.1,9.9,10.6,2.4,0.26
Alan Anderson,2014-15,Alan Anderson 2014-15,74,773,4.3,4.6,5.1,-4.4,-0.22,0.1,0.1,0.2,-6.6,-0.01,3.5,2.9,3.0,18.4,0.56,1.0,0.8,0.7,27.2,0.18,1.5,1.3,1.5,9.2,0.14,10.4,9.8,10.4,6.2,0.65
Alan Anderson,2015-16,Alan Anderson 2015-16,12,97,3.3,3.5,3.8,-4.7,-0.18,0.0,0.2,0.2,-91.5,-0.15,3.2,2.3,2.3,38.9,0.91,0.2,0.3,0.3,-54.7,-0.14,1.6,1.4,1.5,14.1,0.21,8.2,7.6,8.1,8.0,0.65
Alan Anderson,2016-17,Alan Anderson 2016-17,30,116,1.9,1.7,1.8,11.6,0.21,0.0,0.0,0.0,-94.0,-0.03,1.7,1.7,1.7,0.4,0.01,0.1,0.1,0.1,75.0,0.05,0.1,0.2,0.2,-65.9,-0.15,3.8,3.8,3.9,2.2,0.08
Alan Henderson,2005-06,Alan Henderson 2005-06,46,146,0.8,1.1,1.2,-19.6,-0.23,0.5,0.4,0.3,28.7,0.10,0.1,0.1,0.1,37.0,0.02,1.8,1.6,1.5,9.1,0.13,0.1,0.1,0.1,-7.0,-0.01,3.2,3.2,3.2,0.5,0.02
Alan Henderson,2006-07,Alan Henderson 2006-07,35,105,0.6,0.8,0.8,-12.5,-0.10,0.2,0.2,0.2,-17.0,-0.03,0.0,0.0,0.0,-97.0,-0.03,2.2,1.8,1.6,28.9,0.47,0.5,0.3,0.3,82.1,0.26,3.6,3.0,3.0,18.8,0.56
Alan Williams,2015-16,Alan Williams 2015-16,9,47,2.8,2.3,2.6,18.6,0.48,0.0,0.1,0.1,-102.0,-0.11,0.0,0.1,0.1,-97.0,-0.11,1.9,2.4,2.3,-23.3,-0.54,0.0,0.1,0.1,-91.0,-0.10,4.7,5.1,5.2,-7.5,-0.39
Alan Williams,2016-17,Alan Williams 2016-17,45,414,2.4,3.0,3.2,-19.7,-0.63,2.0,2.0,1.9,3.2,0.06,0.0,0.0,0.0,0.0,0.00,3.2,3.4,3.1,-7.2,-0.22,1.4,1.0,1.0,44.7,0.46,9.0,9.4,9.2,-3.6,-0.33
Alan Williams,2017-18,Alan Williams 2017-18,5,50,5.4,6.3,6.6,-13.7,-0.90,1.0,2.2,2.0,-57.8,-1.16,0.0,0.0,0.0,,0.00,2.8,1.7,1.4,77.7,1.09,0.0,0.0,0.0,,0.00,9.2,10.1,10.0,-9.7,-0.97
Alan Williams,2018-19,Alan Williams 2018-19,5,25,2.3,2.3,2.4,-1.8,-0.04,0.0,0.0,0.0,,0.00,0.0,0.2,0.2,-101.0,-0.20,2.8,2.2,1.8,34.8,0.63,0.4,0.6,0.6,-29.3,-0.18,5.5,5.3,5.0,4.1,0.21
Alando Tucker,2007-08,Alando Tucker 2007-08,8,29,0.8,1.3,1.4,-36.6,-0.50,0.0,0.2,0.3,-98.0,-0.25,0.3,0.4,0.4,-29.3,-0.11,1.4,1.1,1.0,24.0,0.24,0.6,0.6,0.6,8.8,0.06,3.0,3.6,3.6,-15.6,-0.56
Alando Tucker,2008-09,Alando Tucker 2008-09,32,184,1.6,2.2,2.4,-24.4,-0.60,0.3,0.2,0.2,22.4,0.05,0.7,0.9,0.9,-28.3,-0.27,0.9,0.9,0.8,-1.5,-0.01,1.8,1.2,1.3,39.1,0.53,5.2,5.5,5.8,-5.2,-0.30
