Rk,Player,5 Best Seasons,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
134,D.J. Augustin,1.82,2.20,2.05,1.92,1.50,1.45,1.28,0.50,0.46,0.23,0.19,0.07,0.07,-0.03,-0.35,,,,,,,,
135,Raymond Felton,1.81,3.34,2.59,1.10,1.06,0.96,0.89,0.56,0.49,0.41,0.29,0.27,0.21,0.15,-0.18,,,,,,,,
136,Corey Maggette,1.81,3.31,1.93,1.55,1.28,0.97,0.37,0.04,-0.29,,,,,,,,,,,,,,
137,John Collins,1.80,2.69,2.04,1.97,1.71,0.61,0.60,0.42,,,,,,,,,,,,,,,
138,Patty Mills,1.80,2.24,1.94,1.86,1.52,1.45,0.92,0.91,0.89,0.52,0.47,0.40,0.35,-0.26,-0.87,,,,,,,,
139,Brook Lopez,1.80,3.24,1.49,1.47,1.43,1.38,1.26,1.15,1.07,1.07,1.00,0.94,0.57,0.52,0.36,0.00,,,,,,,
140,Jaylen Brown,1.80,2.34,2.22,1.61,1.56,1.26,0.59,0.14,0.00,,,,,,,,,,,,,,
141,Tyrese Maxey,1.80,3.09,2.94,2.58,0.38,,,,,,,,,,,,,,,,,,
142,Spencer Dinwiddie,1.80,2.86,1.84,1.83,1.23,1.22,1.07,0.97,-0.43,-2.45,,,,,,,,,,,,,
143,Jamal Murray,1.78,2.76,2.24,1.84,1.06,1.01,0.49,-0.12,,,,,,,,,,,,,,,
144,Danny Green,1.77,2.17,1.93,1.79,1.68,1.31,0.89,0.55,0.31,0.09,-0.03,-0.77,,,,,,,,,,,
145,Bogdan Bogdanovic,1.77,3.16,2.12,1.54,1.45,0.60,0.58,0.32,,,,,,,,,,,,,,,
146,Lauri Markkanen,1.77,2.98,2.93,1.38,1.04,0.51,0.11,-0.18,,,,,,,,,,,,,,,
147,Monte Morris,1.76,2.49,1.82,1.67,1.58,1.25,0.76,,,,,,,,,,,,,,,,
148,Tyson Chandler,1.76,2.14,1.96,1.81,1.54,1.33,0.73,0.69,0.68,0.28,0.13,-0.05,-0.31,-0.38,-0.54,,,,,,,,
149,Rudy Gobert,1.75,2.06,1.97,1.72,1.59,1.40,0.94,0.87,0.85,0.67,-0.40,-0.65,,,,,,,,,,,
150,Anthony Morrow,1.75,2.23,2.14,1.93,1.33,1.11,1.04,0.57,0.24,0.22,,,,,,,,,,,,,
151,Grayson Allen,1.74,3.11,1.95,1.44,1.22,1.01,-0.70,,,,,,,,,,,,,,,,
152,Gilbert Arenas,1.73,4.38,3.56,0.52,0.17,0.03,,,,,,,,,,,,,,,,,
153,Andrew Bynum,1.73,2.24,1.96,1.77,1.56,1.11,0.31,-0.55,,,,,,,,,,,,,,,
154,Shawn Marion,1.72,3.09,2.71,1.56,0.90,0.32,0.06,0.01,-0.17,-0.19,-0.33,,,,,,,,,,,,
155,Marc Gasol,1.71,2.36,1.74,1.62,1.48,1.32,0.83,0.67,0.66,0.55,0.49,0.14,-0.27,-0.78,,,,,,,,,
156,Otto Porter Jr.,1.69,2.84,2.05,1.42,1.17,0.97,0.74,0.15,-0.03,,,,,,,,,,,,,,
157,Ja Morant,1.66,2.52,2.40,1.72,1.33,0.32,,,,,,,,,,,,,,,,,
158,Evan Fournier,1.65,2.13,1.96,1.86,1.21,1.10,0.85,0.82,0.69,0.42,0.01,-0.87,-1.56,,,,,,,,,,
159,Duncan Robinson,1.65,3.42,2.22,1.80,1.02,-0.21,,,,,,,,,,,,,,,,,
160,Mario Chalmers,1.64,2.46,1.91,1.67,1.50,0.64,0.64,0.45,-0.18,-0.73,,,,,,,,,,,,,
161,Davis Bertans,1.64,3.02,1.80,1.64,0.92,0.80,0.77,0.63,0.13,,,,,,,,,,,,,,
162,Ramon Sessions,1.62,2.09,1.70,1.63,1.45,1.22,0.69,0.67,0.09,-0.14,-0.29,-0.29,,,,,,,,,,,
163,Domantas Sabonis,1.62,3.37,2.19,1.02,0.76,0.74,0.22,-0.56,-1.05,,,,,,,,,,,,,,
164,David West,1.61,1.89,1.89,1.52,1.42,1.33,1.20,1.16,1.08,1.04,0.84,0.79,0.73,0.03,,,,,,,,,
165,Richard Hamilton,1.61,2.20,2.05,1.64,1.09,1.05,0.78,-0.43,-0.67,,,,,,,,,,,,,,
166,Tyreke Evans,1.60,2.14,1.79,1.42,1.38,1.27,0.96,0.86,-0.63,-0.69,-0.93,,,,,,,,,,,,
167,Trevor Ariza,1.59,2.41,1.49,1.49,1.28,1.27,0.88,0.83,0.74,0.74,0.48,0.19,0.19,0.17,-0.50,-0.63,-0.64,-0.97,,,,,
168,Paul Millsap,1.56,2.09,1.92,1.39,1.24,1.15,0.94,0.89,0.59,0.57,0.40,0.34,0.29,0.24,-0.10,-0.30,-0.87,,,,,,
169,Peja Stojakovic,1.56,2.51,1.94,1.41,1.17,0.76,0.63,,,,,,,,,,,,,,,,
170,Tim Hardaway Jr.,1.55,2.19,1.84,1.38,1.23,1.09,0.96,0.92,0.85,0.54,0.28,-0.08,,,,,,,,,,,
171,Gary Harris,1.54,2.44,2.23,1.18,1.14,0.70,0.46,0.41,-0.07,-0.47,-1.30,,,,,,,,,,,,
172,Kristaps Porzingis,1.53,2.83,2.68,0.94,0.84,0.34,-0.03,-0.25,-0.48,,,,,,,,,,,,,,
173,Lamar Odom,1.52,2.34,1.67,1.55,1.28,0.79,0.44,-0.43,-0.91,,,,,,,,,,,,,,
174,Ricky Rubio,1.51,1.96,1.81,1.43,1.19,1.17,1.15,0.65,0.37,0.16,-0.29,-0.71,-1.19,,,,,,,,,,
